,REFERENCE: doi,NAME,FORMULA,Family,PROPERTY: Material Family,IDENTIFIER: sampleid,IDENTIFIER: paperid,IDENTIFIER: figureid,PROPERTY: Temperature (K),PROPERTY: Seebeck coefficient (V/K),PROPERTY: Thermal conductivity (W*m^(-1)*K^(-1)),PROPERTY: Power factor (W*m^(-1)*K^(-2)),PROPERTY: ZT (-),PROPERTY: Electrical conductivity (S*m^(-1)),PROPERTY: sigma_E_0,PROPERTY: log sigma_E_0,PROPERTY: quality_factor,PROPERTY: log quality_factor,inexpensive,non-toxic,n_elements,electron_count,PROPERTY: Seebeck coefficient (muV/K),|S|(muV/K),,L,L*sigma*T,Electronic thermal conductivity,Lattice thermal conductivity,
42116,10.1039/c6dt02166b,x=0.52,Ba0.52Cr5Se8,Toxic,,14621,7747,12430,300,7.59E-05,0.826188414,,0.001140252,139.5404536,39.2545625,1.593890141,0.000105957,,1,TRUE,3,0,75.9,75.9,0.519800422,2.019800422,2.0198E-08,0.000845532,0.825342882,
42107,10.1039/c5mh00033e,x=1,Nb7W10O47,,,24115,3737,19544,300,-0.000138308,2.038729845,5.77E-07,0.000507139,61.6524093,40.246125,1.604724072,4.4E-05,,1,TRUE,3,0,-138.308,138.308,0.303519219,1.803519219,1.80352E-08,0.000333574,2.038396271,
42100,10.1007/s11664-014-3007-7,x=0,Cu4SnS4,,,7126,2565,5707,300,0.000221024,3.760787985,,7.45E-05,23.13090008,40.5093125,1.607554873,2.4E-05,,1,TRUE,3,0,221.024,221.024,0.148766203,1.648766203,1.64877E-08,0.000114412,3.760673573,
42081,10.1007/s11664-015-4041-9,y=Mn,Ti0.9Mn0.1Co1Sb1,,,12763,10902,10584,300,-8.55E-06,,,0.004688429,1398.156246,42.16632031,1.624965704,,,1,TRUE,4,18,-8.55,8.55,0.928943931,2.428943931,2.42894E-08,0.010188129,-0.010188129,
42080,10.1007/s12034-020-2036-5,SnSe 30MPa,SnSe,Toxic,,28083,24686,22579,300,3.14E-05,0.639675935,4.34E-05,0.024015009,384.072775,42.52065625,1.628599959,0.000148712,,1,TRUE,2,0,31.4,31.4,0.762853207,2.262853207,2.26285E-08,0.002607301,0.637068634,
42073,10.1557/jmr.2011.153,Zn0.01,Zn0.01In2.99Ru1,Expensive,,19938,2888,16703,300,5.59E-05,,,0.004317029,215.956025,43.2233125,1.635718047,,,0,TRUE,3,17,55.9,55.9,0.617610949,2.117610949,2.11761E-08,0.001371933,-0.001371933,
42058,10.1016/j.scriptamat.2010.04.041,1min,Sr0.92La0.08Ti1O3,,,28101,5184,22598,300,-0.000161456,4.153846154,,0.000256579,51.07361963,44.19875,1.645409987,2.37E-05,,1,TRUE,4,0,-161.456,161.456,0.248611941,1.748611941,1.74861E-08,0.000267924,4.15357823,
42050,10.1007/s11664-013-2888-1,FeGa2.94In0.06,In0.06Ga2.94Fe1,,,19911,2541,16671,300,-4.41E-05,4.669864954,,0.003623188,289.3288946,45.1791875,1.654938416,2.16E-05,,1,TRUE,3,17,-44.1,44.1,0.683743512,2.183743512,2.18374E-08,0.00189546,4.667969494,
42027,10.1007/s40243-016-0086-9,SPS900deg,Mg(FeO2)2,,,15466,18851,13134,300,-0.000201421,3.49404248,,0.000193307,34.19153063,47.5730625,1.67736111,3.03E-05,,1,TRUE,3,0,-201.421,201.421,0.176155539,1.676155539,1.67616E-08,0.000171931,3.493870549,
42021,10.2320/jinstmet.ja201516,Pr0.8Sr0.2MnO3,Sr0.2Pr0.8Mn1O3,,,25941,4321,20883,300,4.85E-05,0.416093129,,0.000375838,280.4907946,48.3524375,1.684418372,0.000260051,,1,TRUE,4,0,48.5,48.5,0.658294126,2.158294126,2.15829E-08,0.001816145,0.414276984,
42020,10.1016/j.ceramint.2016.01.023,x=0.06,In3.94Sn0.06Se3,Toxic,,14571,7279,12371,300,-0.000106706,1.10069101,,0.020151765,111.8666573,48.8054375,1.68846821,9.88E-05,,1,TRUE,3,0,-106.706,106.706,0.398567141,1.898567141,1.89857E-08,0.000637159,1.100053851,
42000,10.1016/j.materresbull.2011.07.007,Rh2TeO6,Te(RhO3)2,Toxic,,24122,3811,19551,300,2.69E-05,0.078888671,3.45E-07,0.001442495,529.6268518,50.31771875,1.701720943,0.001492182,,0,FALSE,3,0,26.9,26.9,0.793028156,2.293028156,2.29303E-08,0.003643348,0.075245323,
41991,10.1016/j.ceramint.2012.02.099,x=0.03,Li0.03Ni0.97O1,,,10525,512,8601,300,0.000160338,4.749230316,,0.001845982,60.1522455,51.3600625,1.710625544,2.41E-05,,1,TRUE,3,0,160.338,160.338,0.251019629,1.751019629,1.75102E-08,0.000315983,4.748914333,
41987,10.1016/j.matchemphys.2014.03.034,CuIn0.85Fe0.15S2,In0.85Fe0.15Cu1S2,,,7452,3732,6017,300,-0.000377566,3.061311513,,2.88E-06,4.856512141,52.546625,1.720544827,3.82E-05,,1,TRUE,4,0,-377.566,377.566,0.038585477,1.538585477,1.53859E-08,2.24165E-05,3.061289097,
41982,10.1063/1.3518043,Z1,Ba8Zn(GaGe2)15,Alloy,,826,2024,447,300,-5.18E-05,1.878628817,,0.004850197,287.9919626,53.1661875,1.725635519,6.31E-05,,1,TRUE,4,191,-51.8,51.8,0.639830665,2.139830665,2.13983E-08,0.001848762,1.876780055,
41975,10.2320/jinstmet.ja201516,La0.8Sr0.2FeO3,Sr0.2La0.8Fe1O3,,,25949,4321,20886,300,0.00015854,1.44240087,,0.001728972,64.4038738,53.8105625,1.730867532,8.31E-05,,1,TRUE,4,0,158.54,158.54,0.254940744,1.754940744,1.75494E-08,0.000339075,1.442061795,
41965,10.1021/cm052055b,x=0.05,In0.05Co4Sb12,Skutterudite,Skutterudite,3405,571,2287,300,-0.000275332,2.079146687,,0.205393996,16.41244582,54.157125,1.733655601,5.8E-05,,1,TRUE,3,96,-275.332,275.332,0.093149297,1.593149297,1.59315E-08,7.84424E-05,2.079068245,
41950,10.1039/c5mh00033e,x=2,Nb6W11O47,,,24116,3737,19544,300,-6.12E-05,1.924424488,8.74E-07,0.000334974,252.1885954,55.643875,1.745417366,6.45E-05,,1,TRUE,3,0,-61.2,61.2,0.590027456,2.090027456,2.09003E-08,0.001581243,1.922843245,
41946,10.1039/c3ee40879e,x=0.02,Ag1Bi1Se1S0.98Cl0.02,Toxic,,19224,868,16115,300,-0.0003273,0.460638298,7.75E-05,0.049762215,9.512571761,57.4205625,1.759067443,0.000277725,,1,FALSE,5,0,-327.3,327.3,0.059513522,1.559513522,1.55951E-08,4.4505E-05,0.460593793,
41941,10.1016/j.jallcom.2015.08.013,EF-pre,AlCuO2,,,14956,1824,12657,300,0.000720388,4.405411965,6.62E-07,7.01E-05,0.1,57.809625,1.762000152,2.92E-05,,1,TRUE,3,0,720.388,720.388,0.002008753,1.502008753,1.50201E-08,4.50603E-07,4.405411514,
41933,10.1007/s12034-020-2036-5,SnSe 60MPa,SnSe,Toxic,,28085,24686,22579,300,3.05E-05,0.726202792,5.93E-05,0.027247799,547.0090049,58.92925,1.770330914,0.000181741,,1,TRUE,2,0,30.5,30.5,0.768794916,2.268794916,2.26879E-08,0.003723154,0.722479638,
41926,10.1039/c9tc06490g,Sn0.96Bi0.04Te,Sn0.96Bi0.04Te1,Toxic,,27055,24739,21746,300,4.54E-05,4.125057107,,0.096135647,371.8717053,59.845375,1.777030593,3.23E-05,,1,FALSE,3,10,45.4,45.4,0.676123647,2.176123647,2.17612E-08,0.002427716,4.122629391,
41925,10.1021/ja308936b,AgBiSe2,AgBiSe2,Toxic,,26613,3500,21412,300,0.000332247,0.453926754,,0.002481714,9.40053748,60.0990625,1.778867697,0.000294978,,1,FALSE,3,0,332.247,332.247,0.057028834,1.557028834,1.55703E-08,4.39107E-05,0.453882843,
41902,10.1007/s12034-020-2036-5,SnSe 90MPa,SnSe,Toxic,,28095,24686,22579,300,2.9E-05,1.258324154,6.36E-05,0.018011257,610.5731468,62.56957813,1.796363227,0.000111156,,1,TRUE,2,0,29,29,0.778800783,2.278800783,2.2788E-08,0.004174124,1.25415003,
41895,10.1016/j.jallcom.2014.08.130,x=0.2,Ce1Sn0.2Se1.8,Toxic,SnSe,12443,1790,10297,300,0.000229607,5.74E-07,2.01E-06,0.001015383,32.67535051,63.271,1.801204699,-0.913056745,,1,TRUE,3,0,229.607,229.607,0.138156153,1.638156153,1.63816E-08,0.000160582,-0.000160008,
41890,10.1063/1.3663526,Dy,BaDyCo4O7,,,24906,2038,20199,300,0.000162225,0.658899573,2.66E-07,0.00021978,73.25965428,63.9873125,1.80609387,0.000216465,,1,TRUE,4,0,162.225,162.225,0.246969266,1.746969266,1.74697E-08,0.000383947,0.658515626,
41879,10.7567/jjap.52.031102,(Cu1-xLix)O_0.0005,Li0.0005Cu0.9995O1,,,27815,1379,22345,300,0.000688262,,1.57E-06,0.000121581,0.163905027,65.26625,1.81468866,,,1,TRUE,3,0,688.262,688.262,0.002649742,1.502649742,1.50265E-08,7.38876E-07,-7.38876E-07,
41874,10.3762/bjnano.4.52,Re3As6.70In0.30,In0.3Re3As6.7,Toxic,,11147,454,9193,300,-4.83E-05,0.28425656,,0.000909836,381.7174515,65.5264375,1.816416557,0.000518198,,1,FALSE,3,55,-48.3,48.3,0.659430094,2.159430094,2.15943E-08,0.002472876,0.281783684,
41869,10.1109/ict.2003.1287526,FeS2,FeS2,,,7799,8875,6360,300,7.07E-05,,1.3E-06,2.16E-05,255.7849536,66.3310625,1.821716954,,,1,TRUE,2,0,70.7,70.7,0.543631985,2.043631985,2.04363E-08,0.001568191,-0.001568191,
41862,10.1016/j.ceramint.2016.01.023,x=0.02,In3.98Sn0.02Se3,Toxic,,14573,7279,12371,300,-0.000132318,1.327758134,,0.019218926,110.3212109,66.8550625,1.825134299,0.000112221,,1,TRUE,3,0,-132.318,132.318,0.319604043,1.819604043,1.8196E-08,0.000602223,1.327155911,
41856,10.1109/ict.2003.1287488,??-Na1.0CoO2,NaCoO2,,,18938,8854,15873,300,0.000136878,1.707703697,,4.42E-05,105.5263272,67.6786875,1.830451928,8.83E-05,,1,TRUE,3,0,136.878,136.878,0.307284037,1.807284037,1.80728E-08,0.000572148,1.707131549,
41850,10.1021/acs.chemmater.5b00144,STNO,TSNO,,,19531,632,16380,300,-5.49E-05,3.450414823,0.291451357,0.08839779,352.3913084,69.1605,1.839858124,4.47E-05,,1,TRUE,4,0,-54.9,54.9,0.622958197,2.122958197,2.12296E-08,0.002244336,3.448170487,
41836,10.1038/s41467-019-13461-2,n-type,Bi2Te2.73Se0.3,Toxic,,26554,22100,21358,300,0.000135552,,2E-06,0.002656801,112.5335583,70.995625,1.851231587,,,1,FALSE,3,0,135.552,135.552,0.310816764,1.810816764,1.81082E-08,0.000611333,-0.000611333,
41783,10.1016/j.ceramint.2016.01.023,x=0.04,In3.96Sn0.04Se3,Toxic,,14572,7279,12371,300,-0.000141386,1.173899686,,0.018596694,111.8358498,75.829625,1.879838908,0.000143977,,1,TRUE,3,0,-141.386,141.386,0.295571406,1.795571406,1.79557E-08,0.000602428,1.173297258,
41773,10.1021/cm052055b,x=0.3,In0.3Co4Sb12,Skutterudite,Skutterudite,3410,571,2287,300,-0.000201194,2.677310375,,0.304799425,55.34957627,76.806125,1.885395855,6.39E-05,,1,TRUE,3,96,-201.194,201.194,0.176500594,1.676500594,1.6765E-08,0.000278381,2.677031994,
41758,10.1021/cm052055b,x=0.1,In0.1Co4Sb12,Skutterudite,Skutterudite,3406,571,2287,300,-0.000250022,2.191327921,,0.312386909,32.27428824,79.3110625,1.899333768,8.06E-05,,1,TRUE,3,96,-250.022,250.022,0.115861233,1.615861233,1.61586E-08,0.000156452,2.191171469,
41746,10.1039/c9tc06490g,SnTe,SnTe,Toxic,,27054,24739,21746,300,2.86E-05,7.993386066,,0.065615142,808.8866307,81.54828125,1.911414812,2.27E-05,,1,FALSE,2,10,28.6,28.6,0.781490939,2.281490939,2.28149E-08,0.005536403,7.987849663,
41728,10.1021/cm061195y,0.1,Ba8Cu5.9Ge40.1,,,1270,7419,1285,300,0.000186902,6.30177,,0.028714739,70.53728248,82.6870625,1.917437564,2.92E-05,,1,TRUE,3,235,186.902,186.902,0.199643074,1.699643074,1.69964E-08,0.000359665,6.301410335,
41727,10.1063/1.1863440,NC1,Bi2Te3,Toxic,,24379,6689,19778,300,-0.000125226,1.013342922,,0.716129032,149.4920475,82.8735625,1.918416008,0.000182336,,1,FALSE,2,28,-125.226,125.226,0.33975365,1.83975365,1.83975E-08,0.000825086,1.012517836,
41726,10.1088/0022-3727/42/23/235407,#2,Ti1Co0.97Sb1Pd0.03,,,11817,3280,9782,300,-5.41E-05,9.870947159,4.62E-06,0.001589979,429.5363369,82.9974375,1.919064684,1.87E-05,,0,TRUE,4,18,-54.1,54.1,0.627269309,2.127269309,2.12727E-08,0.002741218,9.868205941,
41708,10.1143/jjap.50.041101,x=0.975,Ca2.95La0.05Mn2O7,,,25903,1375,20858,300,-0.000126906,,,0.00113468,153.6458848,87.0025625,1.939532044,,,1,TRUE,4,0,-126.906,126.906,0.33486854,1.83486854,1.83487E-08,0.00084576,-0.00084576,
41697,10.1016/j.mseb.2015.03.015,x=0.1,Zr1Fe0.1Co0.9Sb1,,,11913,3919,9871,300,5.92E-06,11.57295374,,0.000428571,4234.780291,88.42446875,1.946572459,1.71E-05,,1,TRUE,4,17,5.92,5.92,0.950245903,2.450245903,2.45025E-08,0.031128759,11.54182498,
41693,10.1080/14686996.2020.1726715,Nb0.95Sc0.05CoSn,Sc0.05Nb0.95Co1Sn1,,,27066,24802,21765,300,4.51E-05,5.278719397,1.07E-06,0.000621118,558.7301587,89.2605625,1.950659619,3.77E-05,,1,TRUE,4,17,45.1,45.1,0.677874505,2.177874505,2.17787E-08,0.003650533,5.275068864,
41692,10.1007/s11664-014-3065-x,16nm,FeS2,,,7141,2576,5716,300,7.27E-05,1.262110577,,0.000420266,333.740525,89.3175625,1.950936863,0.000157913,,1,TRUE,2,0,72.7,72.7,0.534339359,2.034339359,2.03434E-08,0.002036824,1.260073753,
41680,10.1007/s11664-015-4063-3,perp,Te3As2,Toxic,,16335,10907,13829,300,9.99E-05,0.880970764,,0.000616272,226.2348717,90.110375,1.954774797,0.000228203,,1,FALSE,2,28,99.9,99.9,0.422651678,1.922651678,1.92265E-08,0.001304913,0.879665851,
41678,10.1007/s11664-010-1457-0,x=8,Co4Ge1.9Sb8Te2.1,Toxic,,5836,11110,4543,300,1.06E-06,2.57172156,,0.121028214,24225.35211,90.42872363,1.956306401,8.41E-05,,1,FALSE,4,96,1.06,1.06,0.990903693,2.490903693,2.4909E-08,0.181029057,2.390692503,
41673,10.1016/j.mseb.2015.03.015,x=0.1(SPS),Zr1Fe0.1Co0.9Sb1,,,11916,3919,9871,300,6.06E-05,10.59074733,,0.000428571,419.2136735,91.4425625,1.961148388,1.92E-05,,1,TRUE,4,17,60.6,60.6,0.593087229,2.093087229,2.09309E-08,0.002632352,10.58811498,
41667,10.1002/aenm.201100775,Bi2S3,Bi2S3,Toxic,,6583,108,5209,300,-0.000350894,1.30422719,4.57E-05,0.006741573,11.70089552,92.886125,1.967950845,0.000158665,,1,FALSE,2,0,-350.894,350.894,0.048560333,1.548560333,1.54856E-08,5.43586E-05,1.304172831,
41657,10.1063/1.3556645,x=0.003,Fe1Sb1.997Te0.003,Toxic,,17710,6794,15049,300,2.31E-07,5.585503787,,0.000324519,114829.1683,93.42016797,1.970440644,4.39E-05,,1,FALSE,3,18,0.231,0.231,0.998010602,2.498010602,2.49801E-08,0.86053344,4.724970347,
41655,10.1021/cm052055b,x=0.2,In0.2Co4Sb12,Skutterudite,Skutterudite,3408,571,2287,300,-0.0002123,2.471637969,,0.387111831,59.20710662,93.61075,1.971325725,8.44E-05,,1,TRUE,3,96,-212.3,212.3,0.160385913,1.660385913,1.66039E-08,0.00029492,2.471343049,
41643,10.1007/s12043-019-1862-8,Mg2Si0.75Sn0.25,Mg2Si0.75Sn0.25,Mg2Si,Mg2Si,28103,23595,22621,300,-5E-07,5.761904762,,0.52562671,54203.53982,95.53212036,1.980149417,3.97E-05,,1,TRUE,3,8,-0.5,0.5,0.995698931,2.495698931,2.4957E-08,0.405827149,5.356077613,
41634,10.1021/jacs.6b07010,Para,Sn0.99Pb0.01Se1,Toxic,,2893,18599,1937,300,0.000252052,0.725274327,,0.043158945,38.52515258,96.9398125,1.986502175,0.000297834,,1,FALSE,3,0,252.052,252.052,0.1138513,1.6138513,1.61385E-08,0.000186522,0.725087805,
41610,10.1002/aenm.201500360,x=0.04,Sn1Se0.96S0.04,Toxic,,19480,120,16338,300,-0.000219113,0.737257734,4.32E-06,0.007985289,58.36518227,99.954875,1.99980398,0.000302145,,1,TRUE,3,0,-219.113,219.113,0.151237297,1.651237297,1.65124E-08,0.000289124,0.73696861,
41600,10.2320/jinstmet.ja201516,Pr0.9Sr0.1MnO3,Sr0.1Pr0.9Mn1O3,,,25938,4321,20883,300,0.000281486,0.797686958,,0.000631043,28.38654485,100.6144375,2.002660304,0.000281039,,1,TRUE,4,0,281.486,281.486,0.088336363,1.588336363,1.58834E-08,0.000135262,0.797551696,
41597,10.1039/c9tc06490g,Sn0.92Bi0.04Zn0.04Te,Zn0.04Sn0.92Bi0.04Te1,Toxic,,27057,24739,21746,300,0.000112243,2.705282928,,0.338170347,216.0508098,101.3845625,2.005971831,8.35E-05,,1,FALSE,4,10,112.243,112.243,0.379989344,1.879989344,1.87999E-08,0.00121852,2.704064408,
41585,10.1039/c5nj02113h,a=Smallsize,CsTePbN,Toxic,,2735,14646,1796,300,0.000158683,1.825526765,,4.43E-05,123.9560847,103.748875,2.015983396,0.000126652,,1,FALSE,4,0,158.683,158.683,0.254626657,1.754626657,1.75463E-08,0.00065249,1.824874275,
41573,10.1063/1.1863440,ZM,Bi2Te3,Toxic,,24377,6689,19778,300,-0.000172914,1.308427369,,0.732718894,105.8798013,105.11075,2.021647135,0.000179036,,1,FALSE,2,28,-172.914,172.914,0.225228929,1.725228929,1.72523E-08,0.000548001,1.307879368,
41570,10.1063/1.3236635,BBG4b,Ba4Ga8Ge15,Clathrate,,816,2004,437,300,6.58E-05,1.177483238,,0.002992463,441.2121212,105.4790938,2.02316639,0.000200037,,1,TRUE,3,92,65.8,65.8,0.567087663,2.067087663,2.06709E-08,0.002736072,1.174747166,
41568,10.1016/j.jallcom.2015.08.013,SPS-5,AlCuO2,,,14952,1824,12657,300,0.000578376,13.43556607,2.32E-06,8.47E-05,0.950487469,105.738375,2.024232632,1.75E-05,,1,TRUE,3,0,578.376,578.376,0.006832942,1.506832942,1.50683E-08,4.29668E-06,13.43556177,
41567,10.1016/j.physc.2009.05.107,CaCo2O4,Ca(CoO2)2,Cobaltite,Cobaltite,22826,15113,18825,300,0.000121512,5.609258194,,0.000159964,200.5936381,106.079125,2.025629929,4.21E-05,,1,TRUE,3,0,121.512,121.512,0.350807639,1.850807639,1.85081E-08,0.001113781,5.608144413,
41562,10.1007/s11664-016-4778-9,In2Te5,In2Te5,Toxic,,16408,11006,13914,300,0.000391403,0.885472724,1.03E-06,0.000362712,8.410657659,106.8501875,2.028775289,0.000268835,,1,FALSE,2,36,391.403,391.403,0.034246744,1.534246744,1.53425E-08,3.87121E-05,0.885434012,
41557,10.1021/cm052055b,x=0.15,In0.15Co4Sb12,Skutterudite,Skutterudite,3407,571,2287,300,-0.000239688,2.303468287,,0.416121613,49.64508576,108.1425625,2.033996656,0.000104598,,1,TRUE,3,96,-239.688,239.688,0.126656591,1.626656591,1.62666E-08,0.000242267,2.30322602,
41554,10.2320/jinstmet.ja201516,Pr0.7Sr0.3MnO3,Sr0.3Pr0.7Mn1O3,,,25943,4321,20883,300,-8.8E-06,0.598973607,,0.000217834,3505.381859,108.8460938,2.036812848,0.000422911,,1,TRUE,4,0,-8.8,8.8,0.926944052,2.426944052,2.42694E-08,0.025522097,0.57345151,
41545,10.1021/cm052055b,x=0.25,In0.25Co4Sb12,Skutterudite,Skutterudite,3409,571,2287,300,-0.000207916,2.560415759,,0.458239667,73.20372751,109.9364375,2.04114166,9.57E-05,,1,TRUE,3,96,-207.916,207.916,0.166563392,1.666563392,1.66656E-08,0.000365996,2.560049763,
41537,10.1016/j.jallcom.2006.08.369,(a),CoSb3,Skutterudite,Skutterudite,3579,1569,2409,300,-5.12E-06,7.799873038,,0.001861302,6228.09106,112.4412188,2.050925544,3.23E-05,,1,TRUE,2,24,-5.12,5.12,0.956821973,2.456821973,2.45682E-08,0.045903933,7.753969105,
41528,10.1007/s11664-015-4128-3,"(0.5,1.0)",Zn0.5Cu11.5Sb3Te1S13,Toxic,,8072,10920,6590,300,0.000122032,0.588233723,,0.101731602,213.8837301,113.8605,2.056373087,0.000432068,,1,FALSE,5,0,122.032,122.032,0.349238573,1.849238573,1.84924E-08,0.001186566,0.587047157,
41527,10.1007/s12034-020-2036-5,SnSe 120MPa,SnSe,Toxic,,28096,24686,22579,300,3.18E-05,1.22049738,,0.031784727,1022.324457,114.7115,2.059606959,0.000210621,,1,TRUE,2,0,31.8,31.8,0.760227209,2.260227209,2.26023E-08,0.006932057,1.213565323,
41516,10.1007/s11664-015-4063-3,par,Te3As2,Toxic,,16334,10907,13829,300,0.00013235,0.96555858,,0.001176056,193.388026,117.2404375,2.06907743,0.000270789,,1,FALSE,2,28,132.35,132.35,0.319515889,1.819515889,1.81952E-08,0.001055618,0.964502962,
